case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year
"Design Tech Homes of Texas, LLC v. John Siemens and Vashti Siemens (As Co-Trustees of the John Siemens and Vashti Siemens Living Revocable Trust) (Tex. App.-Austin 2025)",03-23-00735-CV,2025-01-10,"Texas Court of Appeals, 3rd District (Austin)",0,0.0,0.0,https://www.courtlistener.com/opinion/10312813/design-tech-homes-of-texas-llc-v-john-siemens-and-vashti-siemens-as/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2025
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2024)",62806,2024-08-08,Armed Services Board of Contract Appeals,0,0.0,,https://www.courtlistener.com/opinion/10079175/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2024
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2024)",63718,2024-08-05,Armed Services Board of Contract Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/10079181/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2024
"Design Tech Homes of Texas, LLC v. John Siemens and Vashti Siemens (As Co-Trustees of the John Siemens and Vashti Siemens Living Revocable Trust) (Tex. App.-Austin 2025)",03-23-00735-CV,2025-01-10,"Texas Court of Appeals, 3rd District (Austin)",0,0.0,0.0,https://www.courtlistener.com/opinion/10312814/design-tech-homes-of-texas-llc-v-john-siemens-and-vashti-siemens-as/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2025
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2022)","ASBCA No. 62601, 62602",2022-05-24,Armed Services Board of Contract Appeals,1,4850947.39,,https://www.courtlistener.com/opinion/6618919/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2022
"Siemens Energy, Inc. v. PDVSA (2d Cir. 2023)",22-0047-cv,2023-09-20,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/9427185/siemens-energy-inc-v-pdvsa/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2023
Jay v. Siemens AG (D.D.C. 2018),CIVIL ACTION NO. 18-10267-RWZ,2018-08-30,"District Court, District of Columbia",0,0.0,1.0,https://www.courtlistener.com/opinion/7331335/jay-v-siemens-ag/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2018
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2021)",ASBCA No. 62806,2021-09-15,Armed Services Board of Contract Appeals,1,3433308.18,,https://www.courtlistener.com/opinion/5104765/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2021
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2020)",ASBCA No. 62273,2020-08-04,Armed Services Board of Contract Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/4776137/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2020
"Siemens Government Technologies, Inc. v. United States (Fed. Cl. 2025)",22-698,2025-04-15,United States Court of Federal Claims,1,5182641.97,1.0,https://www.courtlistener.com/opinion/10379085/siemens-government-technologies-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2025
"Siemens Government Technologies, Inc. v. United States (Fed. Cl. 2025)",22-1870,2025-07-25,United States Court of Federal Claims,1,35093097.0,,https://www.courtlistener.com/opinion/10642198/siemens-government-technologies-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2025
Credico v. Siemens (2015),No. 14–5939.,2015-04-20,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/8174332/credico-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2015
Casagrande v. Siemens Corp. (2014),14-172,2014-10-20,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/8170330/casagrande-v-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2014
"Siemens Gamesa Renewable Energy, Inc. and Siemens Energy, Inc. v. Arcosa Wind Towers, Inc. (Tex. App.-Dallas 2021)",05-21-00221-CV,2021-07-02,"Texas Court of Appeals, 5th District (Dallas)",0,0.0,,https://www.courtlistener.com/opinion/4897863/siemens-gamesa-renewable-energy-inc-and-siemens-energy-inc-v-arcosa/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2021
"Siemens Industry, Inc. (A.S.B.C.A. 2015)",ASBCA No. 59897,2015-04-23,Armed Services Board of Contract Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/2798241/siemens-industry-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2015
Kakosch v. Siemens Corp. (2016),15-1170,2016-05-23,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/8425706/kakosch-v-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2016
Siemens Gamesa Renewable Energy v. United States (Ct. Intl. Trade 2025),21-00449,2025-01-28,United States Court of International Trade,0,0.0,0.0,https://www.courtlistener.com/opinion/10322396/siemens-gamesa-renewable-energy-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2025
Credico v. Siemens (2014),14-5939,2014-11-03,Supreme Court of the United States,0,0.0,,https://www.courtlistener.com/opinion/8170518/credico-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2014
Lichtman v. Siemens Indus. Inc. (Cal. Ct. App. 5th 2017),B265373,2017-11-02,"California Court of Appeal, 5th District",0,0.0,1.0,https://www.courtlistener.com/opinion/6239152/lichtman-v-siemens-indus-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2017
Smith v. Siemens (Okla. 2013),"No. 111,244",2013-09-12,Supreme Court of Oklahoma,0,0.0,1.0,https://www.courtlistener.com/opinion/5328752/smith-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=1,2013
Siemens Gamesa Renewable Energy v. United States (Ct. Intl. Trade 2023),21-00449,2023-10-11,United States Court of International Trade,0,0.0,0.0,https://www.courtlistener.com/opinion/9432206/siemens-gamesa-renewable-energy-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2023
"MidAmerica C2L Incorporated v. Siemens Energy, Inc. (11th Cir. 2022)",20-11266,2022-02-15,Court of Appeals for the Eleventh Circuit,1,94606611.88,1.0,https://www.courtlistener.com/opinion/6353286/midamerica-c2l-incorporated-v-siemens-energy-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2022
Siemens USA Holdings Inc v. Richard Geisenberger (3rd Cir. 2021),20-2991,2021-11-04,Court of Appeals for the Third Circuit,1,63557028.97,1.0,https://www.courtlistener.com/opinion/5294915/siemens-usa-holdings-inc-v-richard-geisenberger/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2021
White v. Siemens (Tex. App. 2012),No. 05-10-01433-CV,2012-06-05,Court of Appeals of Texas,1,2203363.4,0.0,https://www.courtlistener.com/opinion/5281969/white-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2012
Weinstein v. Siemens (E.D. Mich. 2010),Case 2:07-CV-15000,2010-11-22,"District Court, E.D. Michigan",0,0.0,1.0,https://www.courtlistener.com/opinion/2476090/weinstein-v-siemens/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2010
Siemens Gamesa Renewable Energy v. United States (Ct. Intl. Trade 2023),21-00449,2023-02-16,United States Court of International Trade,0,0.0,,https://www.courtlistener.com/opinion/9376394/siemens-gamesa-renewable-energy-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2023
Lichtman v. Siemens Industry Inc. (Cal. Ct. App. 2017),B265373,2017-11-02,California Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/4440238/lichtman-v-siemens-industry-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2017
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2016)",ASBCA No. 60516,2016-06-29,Armed Services Board of Contract Appeals,0,0.0,,https://www.courtlistener.com/opinion/4237465/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2016
Shaver v. Siemens Corp. (3rd Cir. 2012),"10-4147, 10-4279, 10-4791, 10-4792",2012-02-29,Court of Appeals for the Third Circuit,1,2804454.82,1.0,https://www.courtlistener.com/opinion/623850/shaver-v-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2012
United States Ex Rel. Weiner v. Siemens AG (2d Cir. 2023),22-2656,2023-11-28,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/9447172/united-states-ex-rel-weiner-v-siemens-ag/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2023
"He v. Siemens Energy, Inc. (N.Y. App. Div. 2015)",519823,2015-12-17,Appellate Division of the Supreme Court of the State of New York,0,0.0,1.0,https://www.courtlistener.com/opinion/3163529/he-v-siemens-energy-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2015
"Siemens Government Technologies, Inc. (A.S.B.C.A. 2015)",ASBCA No. 59781,2015-03-17,Armed Services Board of Contract Appeals,0,0.0,,https://www.courtlistener.com/opinion/2790178/siemens-government-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2015
"Maccarone v. Siemens Industry, Inc. (1st Cir. 2026)",25-1219,2026-01-29,Court of Appeals for the First Circuit,0,0.0,,https://www.courtlistener.com/opinion/10781521/maccarone-v-siemens-industry-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2026
"Siemens Indus., Inc. v. Skanska Walsh Design-Build Joint Venture (N.Y. App. Div. 2024)",Index No. 724498/20,2024-10-02,Appellate Division of the Supreme Court of the State of New York,0,0.0,1.0,https://www.courtlistener.com/opinion/10128933/siemens-indus-inc-v-skanska-walsh-design-build-joint-venture/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2024
"City of New York v. Siemens Elec., LLC (N.Y. App. Div. 2021)",Index No. 104330/12 Appeal No. 13958 Case No. 2020-02477,2021-06-01,Appellate Division of the Supreme Court of the State of New York,1,1782169.61,1.0,https://www.courtlistener.com/opinion/4888076/city-of-new-york-v-siemens-elec-llc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2021
"Siemens Energy, Inc. v. United States (Fed. Cir. 2015)",2014-1725,2015-11-25,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/3157928/siemens-energy-inc-v-united-states/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2015
Hurst v. Siemens Corp. (E.D. Pa. 2014),Civil Action No. 13-5568,2014-08-27,"District Court, E.D. Pennsylvania",0,0.0,0.0,https://www.courtlistener.com/opinion/7308436/hurst-v-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2014
Matter of St. Remy (Siemens Corp.) (N.Y. App. Div. 2019),528518,2019-12-19,Appellate Division of the Supreme Court of the State of New York,0,0.0,1.0,https://www.courtlistener.com/opinion/4688571/matter-of-st-remy-siemens-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2019
"Siemens Industry, Inc. v. GPEC, LLC (D.C. 2026)",25-CV-0284,2026-04-30,District of Columbia Court of Appeals,0,0.0,,https://www.courtlistener.com/opinion/10850921/siemens-industry-inc-v-gpec-llc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2026
"Siemens Goverment Technologies, Inc. (A.S.B.C.A. 2014)",ASBCA No. 58826,2014-02-11,Armed Services Board of Contract Appeals,0,0.0,0.0,https://www.courtlistener.com/opinion/2734644/siemens-goverment-technologies-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=2,2014
"Solomon v. Siemens Industry, Inc. (E.D.N.Y 2014)",No. 11-CV-1321 (DLI)(SMG),2014-03-26,"District Court, E.D. New York",1,212148.17,1.0,https://www.courtlistener.com/opinion/7305443/solomon-v-siemens-industry-inc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2014
Liu Meng-Lin v. Siemens AG (2d Cir. 2014),Docket No. 13-4385-cv,2014-08-14,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/8441887/liu-meng-lin-v-siemens-ag/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2014
"EVEMeta, LLC v. Siemens Convergence Creators Corp. (N.Y. App. Div. 2019)",9665 651484/16,2019-06-18,Appellate Division of the Supreme Court of the State of New York,0,0.0,1.0,https://www.courtlistener.com/opinion/4630493/evemeta-llc-v-siemens-convergence-creators-corp/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2019
"City of New York v. Siemens Elec., LLC (N.Y. App. Div. 2021)",Index No. 104330/12 Appeal No. 13958 Case No. 2020-02477,2021-06-01,Appellate Division of the Supreme Court of the State of New York,1,1782169.61,1.0,https://www.courtlistener.com/opinion/4888855/city-of-new-york-v-siemens-elec-llc/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2021
Liu v. Siemens AG (2d Cir. 2014),13-4385-cv,2014-08-14,Court of Appeals for the Second Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/2718012/liu-v-siemens-ag/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2014
Tew v. Siemens Power Transmission (Miss. Ct. App. 2010),No. 2009-WC-01150-COA,2010-11-16,Court of Appeals of Mississippi,1,425.39,1.0,https://www.courtlistener.com/opinion/5005156/tew-v-siemens-power-transmission/?q=%22Siemens%22&type=o&order_by=score+desc&stat_Published=on&page=3,2010
