case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year,marked,plaintiff,defendant,plaintiff_size,defendant_size
"Vericool World, LLC v. Igloo Products Corp. (9th Cir. 2026)",24-192,2026-05-06,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10854286/vericool-world-llc-v-igloo-products-corp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,"Vericool World, LLC",Igloo Products Corp.,5.0,5.0
Josh Malone v. United States Patent & Trademark Office (4th Cir. 2026),24-1706,2026-05-05,Court of Appeals for the Fourth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10854333/josh-malone-v-united-states-patent-trademark-office/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Josh Malone,United States Patent & Trademark Office,3.0,3.0
Federal Express Corporation v. Qualcomm Incorporated (Fed. Cir. 2026),24-1236,2026-04-29,Court of Appeals for the Federal Circuit,0,0.0,,https://www.courtlistener.com/opinion/10850259/federal-express-corporation-v-qualcomm-incorporated/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Federal Express Corporation,Qualcomm Incorporated,7.0,10.0
Williams v. National Aeronautics and Space Administration (D.D.C. 2026),Civil Action No. 2026-0564,2026-04-29,,0,0.0,,https://www.courtlistener.com/opinion/10850557/williams-v-national-aeronautics-and-space-administration/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Williams,National Aeronautics and Space Administration,1.0,1.0
"Constellation Designs, LLC v. Lg Electronics Inc. (Fed. Cir. 2026)",24-1822,2026-04-28,Court of Appeals for the Federal Circuit,1,1684469.0,,https://www.courtlistener.com/opinion/10848983/constellation-designs-llc-v-lg-electronics-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,"Constellation Designs, LLC",Lg Electronics Inc.,5.0,10.0
"9878866 Canada Inc. v. Intake Breathing Technology, LLC (D.D.C. 2026)",Civil Action No. 2025-2443,2026-04-27,"District Court, District of Columbia",0,0.0,0.0,https://www.courtlistener.com/opinion/10848672/9878866-canada-inc-v-intake-breathing-technology-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,9878866 Canada Inc.,"Intake Breathing Technology, LLC",5.0,5.0
"Tesaro, Inc. v. Anaptysbio, Inc. (Del. Ch. 2026)",2025-1357-KSJM,2026-04-24,Court of Chancery of Delaware,0,0.0,1.0,https://www.courtlistener.com/opinion/10847851/tesaro-inc-v-anaptysbio-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,"Tesaro, Inc.","Anaptysbio, Inc.",5.0,5.0
Tabaee v. National Aeronautics and Space Administration (D.D.C. 2026),Civil Action No. 2025-1900,2026-04-21,"District Court, District of Columbia",1,38000.0,1.0,https://www.courtlistener.com/opinion/10846361/tabaee-v-national-aeronautics-and-space-administration/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Tabaee,National Aeronautics and Space Administration,1.0,1.0
"International Medical Devices, Inc. v. Cornell (Fed. Cir. 2026)",25-1580,2026-04-17,Court of Appeals for the Federal Circuit,1,1650.0,1.0,https://www.courtlistener.com/opinion/10844507/international-medical-devices-inc-v-cornell/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,"International Medical Devices, Inc.",Cornell,7.0,5.0
Teva Pharmaceuticals International Gmbh v. Eli Lilly and Company (Fed. Cir. 2026),24-1094,2026-04-16,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10843880/teva-pharmaceuticals-international-gmbh-v-eli-lilly-and-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1,2026,1,Teva Pharmaceuticals International Gmbh,Eli Lilly and Company,7.0,5.0
